feature,precision,recall,f1,category
native-country,1.0,0.1111111111111111,0.19999999999999998, England
native-country,1.0,0.0,0.0, India
native-country,1.0,0.0,0.0, Italy
native-country,1.0,0.5,0.6666666666666666, Jamaica
native-country,1.0,0.3333333333333333,0.5, Cambodia
native-country,1.0,1.0,1.0, Dominican-Republic
native-country,1.0,0.0,0.0, Poland
native-country,1.0,1.0,1.0, Guatemala
native-country,1.0,1.0,1.0, Peru
native-country,1.0,0.0,0.0, Thailand
native-country,1.0,0.0,0.0, France
native-country,0.0,1.0,0.0, Vietnam
native-country,0.6666666666666666,0.2,0.30769230769230765, Philippines
native-country,1.0,0.25,0.4, Japan
native-country,1.0,1.0,1.0, Ireland
native-country,1.0,0.0,0.0, Portugal
native-country,1.0,1.0,1.0, Ecuador
native-country,1.0,1.0,1.0, Laos
native-country,1.0,1.0,1.0, Trinadad&Tobago
native-country,1.0,0.5,0.6666666666666666, Iran
native-country,1.0,1.0,1.0, Outlying-US(Guam-USVI-etc)
native-country,1.0,1.0,1.0, Scotland
native-country,1.0,0.0,0.0, Hong
native-country,1.0,0.0,0.0, Yugoslavia
native-country,0.0,1.0,0.0, Greece
native-country,1.0,1.0,1.0, Hungary
